EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,JobLevel,Education,EducationField,HireDate,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,MonthlyIncome,PercentSalaryHike,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,JobInvolvement,OverTime,BusinessTravel,DistanceFromHome,StockOptionLevel,TrainingTimesLastYear,Attrition,ExitDate,Exit_Reason_HR_Recorded,Retention_Attempted,Retention_Action_Taken,Retained,Retention_Outcome_Reason,Year,Reason_Category
100001,24,Male,Single,Sales,Sales Executive,4,2,Medical,2024-08-04,1,0,0,0,0,0,119537,21,3,4,3,1,4,3,No,Travel_Frequently,18,2,2,Yes,,Employee requested a salary hike due to competitive market pay standards.,No,Not Applicable,Not Applicable,Employee did not resign,2024,Compensation & Benefits
100002,51,Female,Single,Marketing,Marketing Manager,1,2,Business,2018-01-17,27,8,6,1,5,0,114199,20,3,4,2,4,3,3,No,Travel_Rarely,19,0,0,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2018,Not Applicable
100003,46,Female,Single,Finance,Finance Manager,2,1,Life Sciences,2021-05-19,24,16,6,8,10,3,116507,13,4,2,3,1,4,2,Yes,Travel_Frequently,38,3,3,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2021,Not Applicable
100004,38,Male,Married,Marketing,Marketing Manager,1,1,Computer Science,2023-11-06,18,13,7,7,2,5,115030,22,2,4,3,3,2,3,No,Travel_Rarely,10,3,5,Yes,2024-09-06,Left for a role offering significantly higher pay and better benefits.,Yes,Salary Hike,No,Offer came too late or competing offer was stronger,2023,Compensation & Benefits
100005,37,Male,Married,HR,HR Executive,3,1,Life Sciences,2016-06-17,19,15,10,7,12,1,108949,16,3,4,1,3,4,4,No,Travel_Rarely,9,1,3,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2016,Not Applicable
100006,54,Male,Single,IT,IT Support,2,1,Marketing,2022-10-21,32,19,18,1,8,4,75922,20,2,1,2,3,2,2,No,Travel_Rarely,37,0,0,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2022,Not Applicable
100007,24,Female,Single,R&D,Research Scientist,5,5,Marketing,2020-01-28,0,0,0,0,0,2,92023,11,2,3,1,1,1,1,No,Travel_Rarely,26,0,1,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2020,Not Applicable
100008,48,Female,Divorced,HR,HR Executive,4,1,Medical,2024-12-24,30,29,10,6,24,5,48831,19,3,3,3,3,2,3,Yes,Travel_Frequently,18,2,6,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2024,Not Applicable
100009,28,Female,Married,HR,HR Manager,5,2,Human Resources,2016-02-08,9,4,1,1,0,4,91385,14,2,4,4,4,3,1,No,Travel_Rarely,33,2,3,Yes,2017-01-25,Role did not match employee's skills or expectations.,No,Not Applicable,No,No retention conversation held before exit,2016,Role Mismatch
100010,24,Male,Married,Finance,Financial Analyst,3,5,Medical,2023-04-03,3,1,0,0,0,3,95239,21,3,2,4,2,4,4,No,Travel_Frequently,11,3,5,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2023,Not Applicable
100011,41,Male,Single,R&D,Manufacturing Director,3,1,Medical,2021-10-01,20,19,12,11,18,3,65843,12,4,3,2,2,4,4,No,Travel_Rarely,8,3,4,Yes,2023-01-27,Left due to inability to balance work and personal commitments.,No,Not Applicable,No,No retention conversation held before exit,2021,Personal & Non-Negotiable
100012,59,Male,Single,Finance,Accountant,5,4,Technical Degree,2021-09-06,39,36,28,5,9,4,87853,17,3,4,3,2,4,4,No,Travel_Rarely,11,1,6,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2021,Not Applicable
100013,49,Male,Married,Marketing,Content Strategist,4,2,Technical Degree,2018-08-13,30,6,3,3,2,2,65075,19,4,4,3,1,3,1,No,Travel_Rarely,35,3,1,Yes,,Personal matters and emergency led to resignation.,No,Not Applicable,Not Applicable,Employee did not resign,2018,Personal & Non-Negotiable
100014,50,Female,Married,Sales,Sales Executive,5,2,Business,2024-04-11,29,15,8,0,13,0,108161,12,3,4,1,4,1,1,Yes,Travel_Rarely,20,0,2,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2024,Not Applicable
100015,48,Male,Married,IT,Data Analyst,5,3,Life Sciences,2018-06-22,27,21,20,9,6,4,43578,15,4,4,3,4,3,1,No,Travel_Frequently,13,3,2,Yes,2023-07-07,Left for a role offering significantly higher pay and better benefits.,Yes,Salary Hike,Yes,Action directly addressed root cause of dissatisfaction,2018,Compensation & Benefits
100016,51,Male,Married,Marketing,Content Strategist,1,3,Medical,2024-12-29,32,10,3,4,7,6,105953,16,3,1,2,4,2,4,Yes,Travel_Frequently,25,1,3,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2024,Not Applicable
100017,41,Male,Single,Sales,Account Manager,2,4,Life Sciences,2022-09-05,19,4,2,0,3,3,98063,22,2,4,4,3,4,1,No,Travel_Rarely,18,0,2,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2022,Not Applicable
100018,25,Male,Married,IT,Data Analyst,4,4,Computer Science,2021-08-11,1,0,0,0,0,2,51443,14,3,3,3,3,1,1,Yes,Travel_Rarely,38,3,0,Yes,,Workload burnout from overtime working hours.,No,Not Applicable,Not Applicable,Employee did not resign,2021,Work-Life Balance
100019,53,Female,Single,HR,Recruiter,1,1,Human Resources,2019-07-25,35,22,8,3,6,6,40386,19,1,4,4,2,2,4,No,Travel_Frequently,1,2,2,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2019,Not Applicable
100020,38,Male,Single,Finance,Finance Manager,1,1,Medical,2019-12-07,20,7,2,0,5,1,80482,11,3,3,3,3,2,4,No,Travel_Rarely,15,1,4,Yes,2025-04-23,Felt stagnant in current role with no clear promotion path.,Yes,Role Change,No,Action did not address underlying root cause,2019,Career Advancement
100021,40,Female,Married,R&D,Manufacturing Director,1,4,Human Resources,2024-05-27,19,7,3,2,2,2,114009,16,2,4,2,3,1,2,No,Travel_Frequently,13,3,5,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2024,Not Applicable
100022,35,Female,Divorced,R&D,Manufacturing Director,1,2,Computer Science,2018-04-25,12,2,1,0,1,0,66688,21,1,4,4,4,2,2,No,Travel_Rarely,26,2,6,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2018,Not Applicable
100023,28,Female,Married,R&D,Manufacturing Director,4,1,Computer Science,2018-11-08,10,7,6,2,6,4,50149,14,4,4,2,3,3,2,No,Travel_Frequently,7,1,1,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2018,Not Applicable
100024,57,Female,Married,Sales,Sales Manager,2,3,Other,2016-07-15,33,28,19,14,6,3,113286,18,3,1,3,4,3,4,Yes,Travel_Rarely,19,3,1,Yes,,Disagreement with team manager regarding team goals.,No,Not Applicable,Not Applicable,Employee did not resign,2016,Management & Culture
100025,51,Female,Married,HR,HR Manager,5,2,Medical,2017-01-18,30,23,22,9,9,5,84940,11,3,2,3,4,1,4,Yes,Travel_Frequently,34,2,3,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2017,Not Applicable
100026,46,Female,Married,Marketing,Content Strategist,1,5,Medical,2017-12-09,28,8,2,1,6,0,63846,18,3,4,3,4,1,3,Yes,Travel_Frequently,33,0,3,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2017,Not Applicable
100027,36,Male,Single,IT,Software Engineer,3,5,Computer Science,2017-03-17,15,14,9,8,9,4,64829,10,1,1,4,1,4,1,No,Travel_Frequently,27,1,3,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2017,Not Applicable
100028,53,Male,Married,R&D,Research Scientist,4,1,Other,2016-10-10,32,31,20,17,19,4,31022,16,4,4,1,3,1,4,No,Travel_Rarely,34,2,2,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2016,Not Applicable
100029,42,Female,Married,Finance,Accountant,2,4,Medical,2020-05-12,22,8,2,2,4,3,104302,22,3,1,4,3,3,3,Yes,Non-Travel,27,3,0,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2020,Not Applicable
100030,38,Male,Married,Sales,Sales Manager,4,5,Business,2024-08-07,16,15,10,8,14,5,71530,19,3,4,2,2,3,3,No,Travel_Rarely,1,0,0,Yes,2025-04-05,Cited poor team dynamics and lack of support from supervisor.,No,Not Applicable,No,No retention conversation held before exit,2024,Management & Culture
100031,38,Male,Married,Sales,Sales Executive,5,4,Human Resources,2024-01-08,19,10,6,5,8,0,101381,14,3,3,3,1,4,3,No,Travel_Rarely,38,1,5,Yes,,Workload burnout from overtime working hours.,No,Not Applicable,Not Applicable,Employee did not resign,2024,Work-Life Balance
100032,29,Female,Married,Finance,Accountant,4,4,Other,2022-08-07,5,1,0,0,0,0,46884,19,3,4,1,3,3,4,No,Travel_Rarely,4,3,0,Yes,,Workload burnout from overtime working hours.,No,Not Applicable,Not Applicable,Employee did not resign,2022,Work-Life Balance
100033,24,Male,Single,R&D,Research Scientist,4,3,Medical,2018-10-14,4,2,1,0,0,6,32674,23,3,4,4,2,4,4,Yes,Non-Travel,30,3,0,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2018,Not Applicable
100034,42,Male,Single,IT,Software Engineer,3,3,Marketing,2020-09-03,18,11,4,0,2,3,26012,14,4,3,2,3,4,2,Yes,Travel_Rarely,8,2,0,Yes,,Workload burnout from overtime working hours.,No,Not Applicable,Not Applicable,Employee did not resign,2020,Work-Life Balance
100035,55,Female,Married,Sales,Sales Manager,5,1,Human Resources,2019-03-06,32,28,8,4,20,0,83312,12,3,2,4,3,2,1,No,Travel_Rarely,29,2,3,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2019,Not Applicable
100036,23,Male,Single,Sales,Sales Executive,4,1,Computer Science,2021-03-10,3,1,0,0,0,3,111652,11,2,1,2,4,2,3,No,Travel_Frequently,5,1,2,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2021,Not Applicable
100037,54,Female,Married,IT,Data Scientist,1,4,Computer Science,2019-07-11,35,28,22,2,9,3,94463,10,3,3,2,3,3,2,Yes,Travel_Frequently,5,2,5,Yes,2024-02-16,Leaving to care for a family member.,Yes,Not Applicable,No,Non-negotiable personal/relocation factor,2019,Personal & Non-Negotiable
100038,53,Male,Single,R&D,Manufacturing Director,4,3,Technical Degree,2018-12-07,29,24,11,11,6,0,88909,16,2,3,3,3,1,4,No,Travel_Frequently,12,1,4,Yes,,Personal matters and emergency led to resignation.,No,Not Applicable,Not Applicable,Employee did not resign,2018,Personal & Non-Negotiable
100039,31,Female,Single,Sales,Sales Manager,1,1,Marketing,2024-10-17,9,2,1,0,1,1,73874,22,2,4,1,2,3,1,Yes,Travel_Frequently,8,1,2,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2024,Not Applicable
100040,45,Female,Married,IT,Data Scientist,5,2,Medical,2024-04-16,25,18,15,4,11,3,36128,20,2,3,1,2,1,3,No,Travel_Frequently,39,2,3,Yes,2025-03-23,Cited a better brand/career opportunity elsewhere.,No,Not Applicable,No,No retention conversation held before exit,2024,Career Advancement
100041,27,Male,Married,IT,Data Scientist,2,4,Technical Degree,2019-07-22,8,4,1,1,3,5,78343,24,4,3,2,2,2,2,No,Travel_Rarely,9,3,0,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2019,Not Applicable
100042,50,Male,Married,Marketing,Marketing Manager,4,1,Other,2021-07-30,30,10,2,0,2,4,61052,19,3,3,3,1,4,4,Yes,Travel_Rarely,31,0,0,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2021,Not Applicable
100043,48,Male,Single,Finance,Accountant,4,2,Medical,2018-01-26,26,13,8,6,7,4,35354,20,3,1,3,4,1,4,No,Non-Travel,37,1,5,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2018,Not Applicable
100044,34,Male,Married,HR,HR Executive,2,5,Other,2019-12-22,13,11,3,5,7,4,51472,20,3,3,4,3,4,4,Yes,Travel_Rarely,5,3,5,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2019,Not Applicable
100045,23,Male,Married,IT,Data Scientist,5,3,Marketing,2022-06-04,5,3,2,0,2,1,90655,14,3,4,3,1,4,3,No,Travel_Frequently,15,2,4,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2022,Not Applicable
100047,38,Male,Single,Finance,Financial Analyst,3,1,Business,2021-03-24,18,4,3,1,1,5,54293,17,4,4,1,2,3,4,No,Travel_Rarely,38,0,1,Yes,,Personal matters and emergency led to resignation.,No,Not Applicable,Not Applicable,Employee did not resign,2021,Personal & Non-Negotiable
100048,55,Female,Single,R&D,Research Director,3,1,Technical Degree,2022-10-17,36,26,19,9,19,5,91190,15,3,3,2,3,4,3,No,Travel_Frequently,30,3,5,Yes,,Personal matters and emergency led to resignation.,No,Not Applicable,Not Applicable,Employee did not resign,2022,Personal & Non-Negotiable
100049,47,Male,Married,Marketing,Marketing Executive,2,4,Business,2023-08-25,25,20,6,3,9,2,119633,22,2,3,1,3,2,2,Yes,Travel_Rarely,15,3,2,Yes,,Workload burnout from overtime working hours.,No,Not Applicable,Not Applicable,Employee did not resign,2023,Work-Life Balance
100051,50,Male,Married,Marketing,Marketing Executive,5,2,Medical,2022-02-02,27,22,8,1,19,1,60755,12,2,4,2,1,2,2,Yes,Travel_Frequently,27,2,4,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2022,Not Applicable
100052,28,Male,Married,Finance,Finance Manager,5,1,Human Resources,2016-07-10,10,2,1,0,1,1,25626,22,2,3,4,4,4,4,No,Travel_Frequently,36,1,2,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2016,Not Applicable
100053,35,Male,Married,HR,Recruiter,5,4,Marketing,2018-09-12,15,14,4,4,8,0,40805,10,1,1,4,2,2,4,No,Travel_Rarely,3,0,6,Yes,,Disagreement with team manager regarding team goals.,No,Not Applicable,Not Applicable,Employee did not resign,2018,Management & Culture
100054,39,Male,Married,Marketing,Content Strategist,5,5,Technical Degree,2019-12-26,20,16,15,5,13,1,102890,11,3,1,4,1,4,1,Yes,Travel_Frequently,22,1,5,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2019,Not Applicable
100055,40,Female,Married,Finance,Financial Analyst,4,2,Marketing,2021-05-08,18,3,2,1,2,2,102732,18,2,3,3,1,3,2,No,Travel_Rarely,24,2,6,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2021,Not Applicable
100056,22,Male,Married,IT,Data Scientist,5,2,Medical,2018-10-17,0,0,0,0,0,2,113661,14,3,4,4,3,4,3,Yes,Travel_Frequently,39,0,5,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2018,Not Applicable
100057,42,Male,Married,Marketing,Content Strategist,5,4,Human Resources,2022-10-07,24,10,2,4,8,6,84367,21,4,4,4,1,3,4,No,Travel_Rarely,9,3,0,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2022,Not Applicable
100058,27,Male,Married,R&D,Laboratory Technician,2,3,Technical Degree,2017-05-10,5,3,0,0,1,5,116382,11,3,1,2,1,1,2,No,Travel_Rarely,37,2,2,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2017,Not Applicable
100059,49,Female,Married,R&D,Laboratory Technician,3,4,Computer Science,2024-01-19,28,11,9,4,10,1,94543,22,2,2,1,2,2,4,No,Non-Travel,34,0,5,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2024,Not Applicable
